price(1000$),bedrooms,bathrooms,sqm_living,sqm_lot,floors,waterfront,view,condition,sqm_above,sqm_basement,yr_built,yr_renovated,Address,Latitude,Longitude,Month,living_ratio,index
750,3,1.75,208.32,983.754,2,0,0,5,144.15,64.17,91,91,3225 NE 92nd St Seattle WA 98115 USA,47.6953597,-122.2921706,5,0.211760257,20
435,4,1,134.85,818.4,1,0,0,4,134.85,0,60,35,3922 154th Ave SE Bellevue WA 98006 USA,47.5746142,-122.1349397,5,0.164772727,21
612.5,4,2.5,253.89,1140.273,2,0,0,3,253.89,0,23,23,10212 NE 156th Pl Bothell WA 98011 USA,47.7417512,-122.2050576,5,0.222657206,22
495,4,1.75,148.8,593.34,1,0,0,3,105.09,43.71,55,25,2021 NE 100th St Seattle WA 98125 USA,47.7010256,-122.3059126,5,0.250783699,23
285,3,2.5,194.37,1007.562,1,0,0,4,126.48,67.89,27,27,27736 23rd Avenue South Federal Way WA 98003 USA,47.3535951,-122.3032528,5,0.192911205,24
615,3,1.75,219.48,678.063,1,0,0,4,126.48,93,66,66,8436-8438 41st Ave SW Seattle WA 98136 USA,47.527513,-122.383626,5,0.323686737,25
698,4,2.25,204.6,1046.25,1.5,0,0,5,120.9,83.7,94,94,1036 4th St Kirkland WA 98033 USA,47.6845507,-122.2010494,5,0.195555556,26
675,5,2.5,262.26,6279.174,2,0,0,3,262.26,0,35,0,23525 SE 32nd Way Issaquah WA 98029 USA,47.57946,-122.0252865,5,0.04176664,27
790,3,2.5,241.8,441.75,1,0,0,4,158.1,83.7,63,15,3314 NW 75th St Seattle WA 98117 USA,47.6832759,-122.4001495,5,0.547368421,28
382.5,4,1.75,145.08,809.1,1,0,0,4,145.08,0,47,47,14104 119th Ave NE Kirkland WA 98034 USA,47.7274452,-122.1812503,5,0.179310345,29
499.95,4,2.5,265.98,311.085,2,0,0,3,203.67,62.31,10,11,20120 137th Ave NE Woodinville WA 98072 USA,47.773513,-122.1580064,5,0.855007474,30
650,4,2,169.26,465,1.5,0,1,3,152.52,16.74,69,4,7201-7399 55th Ave NE Seattle WA 98115 USA,47.6812233,-122.2689874,5,0.364,31
625,4,2.5,262.26,781.944,2,0,0,3,262.26,0,0,0,17052 4th Ave NE Shoreline WA 98155 USA,47.7537742,-122.3250803,5,0.335394862,32
400,4,2.5,337.59,3988.212,1.5,0,0,3,213.9,123.69,35,0,5172-5198 Heather Ave SE Auburn WA 98092 USA,47.2633399,-122.1908229,5,0.084646955,33
604,3,2.5,301.32,3083.043,2,0,2,3,301.32,0,19,19,30822 36th Ct SW Federal Way WA 98023 USA,47.3255873,-122.3778779,5,0.097734608,34
440,2,1,74.4,451.05,1,0,0,4,74.4,0,70,70,4801-4899 6th Ave NW Seattle WA 98107 USA,47.6640238,-122.3640033,5,0.164948454,35
287.2,3,3,172.05,1856.838,1,0,0,4,101.37,70.68,22,22,23017 SE 281st Ct Maple Valley WA 98038 USA,47.3493152,-122.0340397,5,0.092657518,36
403,3,2,182.28,1218.3,1,0,2,5,153.45,28.83,57,57,17825 4th Ave SW Normandy Park WA 98166 USA,47.4418678,-122.3402004,5,0.149618321,37
750,3,2.5,222.27,609.15,1,0,2,4,133.92,88.35,59,5,3628 59th Ave SW Seattle WA 98116 USA,47.5713901,-122.4081735,5,0.364885496,38
335,3,2.25,146.94,1507.995,1,0,0,4,146.94,0,36,14,4460 332nd Ave SE Fall City WA 98024 USA,47.564273,-121.8968897,5,0.097440641,39
260,4,2,137.64,802.125,1,0,0,4,137.64,0,40,40,2019 Aberdeen Pl SE Renton WA 98055 USA,47.4620172,-122.1927955,5,0.171594203,40
308.5,2,1,79.05,574.182,1,0,0,4,79.05,0,64,31,121 NE 147th St Shoreline WA 98155 USA,47.7351897,-122.3279333,5,0.137674117,41
439.95,3,2.5,164.61,267.375,2,0,0,3,164.61,0,24,5,4458 51st Ave SW Seattle WA 98116 USA,47.563128,-122.39718,5,0.615652174,42
235,2,1,112.53,874.2,1,0,0,2,112.53,0,65,65,7542 21st Ave SW Seattle WA 98106 USA,47.53423,-122.3601838,5,0.128723404,43
315,3,1,107.88,853.74,1,0,0,3,107.88,0,46,17,15804 198th Pl NE Woodinville WA 98077 USA,47.7426723,-122.0722997,5,0.126361656,44
437.5,3,2.25,183.21,3264.3,2,0,0,4,183.21,0,37,37,26069 SE 154th St Issaquah WA 98027 USA,47.46352,-121.9908061,5,0.056125356,45
407.5,3,2.5,179.49,972.78,2,0,0,3,179.49,0,18,18,4314 NE 6th Pl Renton WA 98059 USA,47.4938239,-122.1610827,5,0.184512428,46
838,4,2.5,307.83,3998.814,2,0,0,3,307.83,0,13,13,15712 NE 136th Pl Redmond WA 98052 USA,47.7231903,-122.130783,5,0.076980325,47
630,4,2.75,252.03,3466.761,2,0,0,3,252.03,0,14,14,26429 SE 154th Pl Issaquah WA 98027 USA,47.4634486,-121.9873405,5,0.072698983,48
550,3,1.75,270.63,3273.6,1.5,0,0,3,270.63,0,35,0,3923 229th Pl SE Sammamish WA 98075 USA,47.5746867,-122.0346475,5,0.082670455,49
805,3,2,252.03,418.5,1.5,0,0,4,174.84,77.19,85,85,6222 30th Ave NE Seattle WA 98115 USA,47.6746781,-122.2950956,5,0.602222222,50
284,3,1.75,167.4,2148.579,1,0,0,3,167.4,0,46,17,32418 NE 50th St Carnation WA 98014 USA,47.651715,-121.9061276,5,0.077911959,51
470,5,2.5,205.53,897.915,1,0,0,3,135.78,69.75,38,38,19334 89th Ave NE Bothell WA 98011 USA,47.7697716,-122.2222646,5,0.228896945,52
430,4,1.5,178.56,930,1,0,0,4,99.51,79.05,60,35,4071 156th Ave SE Bellevue WA 98006 USA,47.5724857,-122.1331404,5,0.192,53
491.5,4,1.75,203.67,11667.036,1,0,2,3,203.67,0,46,17,36850 204th Ave SE Auburn WA 98092 USA,47.2706277,-122.0691828,5,0.017456876,54
785,5,3.25,340.38,1115.535,2,0,2,3,340.38,0,8,8,7425 Snowberry Ave SE Snoqualmie WA 98065 USA,47.5336787,-121.8597116,5,0.305127136,55
555,4,2.5,307.83,604.5,2,0,0,3,307.83,0,2,102,35229 SE Terrace St Snoqualmie WA 98065 USA,47.5150112,-121.8699222,5,0.509230769,56
459.99,3,2.5,249.24,515.127,2,0,0,3,249.24,0,1,91,13800 453rd Ave SE North Bend WA 98045 USA,47.4755672,-121.7348541,5,0.483841849,57
625,4,3.25,253.89,5023.302,1,0,0,3,145.08,108.81,7,7,9927 174th Ave SE Renton WA 98059 USA,47.5132715,-122.1098067,5,0.050542452,58
300,3,2.5,236.22,469.65,2,0,0,3,236.22,0,8,8,29734 215th Terrace SE Kent WA 98042 USA,47.3358669,-122.0549459,5,0.502970297,59
625,4,2.75,271.56,614.265,2,0,0,3,271.56,0,2,102,5608 NE 5th Cir Renton WA 98059 USA,47.4910248,-122.143998,5,0.442089326,60
553,2,1,83.7,465,1,0,0,3,83.7,0,70,70,8053 29th Ave NW Seattle WA 98117 USA,47.6883338,-122.3947028,5,0.18,61
379.88,3,2.5,153.45,1307.022,1,0,0,4,105.09,48.36,28,28,13256 242nd Pl SE Issaquah WA 98027 USA,47.482009,-122.0167927,5,0.117404298,62
310,3,1,93.93,924.885,1,0,0,4,93.93,0,41,41,7528 N Fork Rd SE Snoqualmie WA 98065 USA,47.5321196,-121.7628864,5,0.101558572,63
775,2,2.5,249.24,687.456,1,0,0,3,249.24,0,10,11,13134 234th Ct NE Redmond WA 98053 USA,47.7169084,-122.0262098,5,0.362554113,64
365,3,2.5,204.6,683.55,1,0,0,5,146.01,58.59,26,26,13420 SE 182nd St Renton WA 98058 USA,47.4395341,-122.1609594,5,0.299319728,65
331.95,4,2.5,235.29,923.769,2,0,2,3,186.93,48.36,24,5,925 48th Ct Auburn WA 98092 USA,47.265438,-122.2160703,5,0.254706534,66
783.5,3,2.5,265.05,663.09,2,0,0,3,185.07,79.98,34,34,151 Euclid Ave Seattle WA 98122 USA,47.6029883,-122.2889888,5,0.399719495,67
628,4,2,212.04,558.93,1,0,0,3,106.02,106.02,114,9,205-206 Euclid Ave Seattle WA 98122 USA,47.6033774,-122.2891122,5,0.37936772,68
560,3,2.5,176.7,813.192,2,0,0,3,176.7,0,27,14,22314 NE 11th Pl Sammamish WA 98074 USA,47.61996,-122.042937,5,0.217291857,69
900,3,1,123.69,7251.396,1,0,0,3,123.69,0,86,60,13615 NE 100th St Kirkland WA 98033 USA,47.689213,-122.1590937,5,0.017057405,70
831,4,3,201.81,372,2,0,0,4,149.73,52.08,32,3,120 31st Ave E Seattle WA 98112 USA,47.6195291,-122.2920521,5,0.5425,71
780,4,2.5,253.89,956.133,2,0,2,3,253.89,0,18,18,23140 NE 14th Ct Sammamish WA 98074 USA,47.6226887,-122.0291119,5,0.265538372,72
755,4,2.5,197.16,948.786,1,0,0,4,150.66,46.5,54,13,12645 SE 27th St Bellevue WA 98005 USA,47.585775,-122.169997,5,0.207802392,73
705.38,3,2.5,231.57,403.899,2,0,0,3,231.57,0,11,11,3187 NE Larkspur Ln Issaquah WA 98029 USA,47.5493365,-121.9929221,5,0.573336403,74
627,4,2.25,185.07,717.216,1,0,0,3,112.53,72.54,41,1,18915 SE 42nd Pl Issaquah WA 98027 USA,47.5687309,-122.0871409,5,0.258039419,75
865,4,3,343.17,919.956,2,0,0,3,343.17,0,16,8,1765 267th Ct SE Sammamish WA 98075 USA,47.5935706,-121.9822084,5,0.37302871,76
580,2,1,236.22,651,1,0,0,5,122.76,113.46,72,72,8624 Island Dr S Seattle WA 98118 USA,47.5260781,-122.260698,5,0.362857143,77
410,3,2.25,167.4,3413.472,1,0,0,4,126.48,40.92,36,14,24502 SE Mirrormont Dr Issaquah WA 98027 USA,47.4687622,-122.0130935,5,0.049040976,78
485,4,3,217.62,655.464,1,0,0,4,124.62,93,35,35,14319 85th Pl NE Kirkland WA 98034 USA,47.7307544,-122.2271211,5,0.332009081,79
400,2,1.75,196.23,885.267,1,0,0,2,196.23,0,66,66,2120 NE 168th St Shoreline WA 98155 USA,47.7504786,-122.3059352,5,0.221661939,80
549,2,1,106.02,502.2,1,0,0,5,106.02,0,106,106,209 30th Ave E Seattle WA 98112 USA,47.6205338,-122.2937905,5,0.211111111,81
620,3,1.75,137.64,203.205,2.5,0,0,3,137.64,0,9,9,10512 128th Ave NE Kirkland WA 98033 USA,47.6945527,-122.1699573,5,0.677345538,82
232,2,1,111.6,749.859,1,0,0,4,111.6,0,56,42,20220 8th Ave S Des Moines WA 98198 USA,47.4204027,-122.3238547,5,0.14882798,83
800.866,5,2.5,295.74,1283.958,2,0,0,4,295.74,0,24,24,11821 NE 48th Pl Kirkland WA 98033 USA,47.6519338,-122.1821678,5,0.230334637,84
650,3,1.5,200.88,837,1,0,2,4,130.2,70.68,65,29,13026 10th Ave NW Seattle WA 98177 USA,47.7241317,-122.3688303,5,0.24,85
823,6,1.75,271.56,465,2.5,0,0,4,258.54,13.02,106,106,125 29th Ave Seattle WA 98122 USA,47.6024775,-122.295228,5,0.584,86
770,3,2,218.55,530.1,1.5,0,0,4,168.33,50.22,75,25,2171 Boyer Ave E Seattle WA 98112 USA,47.6389557,-122.3100465,5,0.412280702,87
524,3,1.75,145.08,513.36,1,0,0,4,72.54,72.54,70,70,3434 33rd Ave W Seattle WA 98199 USA,47.6515299,-122.3992681,5,0.282608696,88
541.125,5,2.75,254.82,783.618,1,0,0,4,127.41,127.41,54,13,5211 116th Pl SE Bellevue WA 98006 USA,47.5562423,-122.1837915,5,0.325183954,89
670,3,2.5,156.24,186,3,0,0,3,156.24,0,105,16,3503 NE 44th St Seattle WA 98105 USA,47.6603665,-122.2900597,5,0.84,90
384.9,5,2.5,287.37,1185.75,1,0,0,3,162.75,124.62,46,17,114 SW 292nd St Federal Way WA 98023 USA,47.3407902,-122.3350896,5,0.242352941,91
1395,5,3.5,372.93,791.43,2,0,1,5,265.05,107.88,43,43,3930 NE Belvoir Pl Seattle WA 98105 USA,47.6577362,-122.285757,5,0.471210341,92
736.5,4,2.5,295.74,2037.072,2,0,3,3,295.74,0,14,14,17132 SE 100th St Renton WA 98059 USA,47.5149566,-122.1173811,5,0.145178963,93
570,3,2.25,186.93,558,1,0,0,3,123.69,63.24,39,39,10204 168th Pl NE Redmond WA 98052 USA,47.6913178,-122.1151204,5,0.335,94
787,3,1.75,123.69,697.5,1,0,0,3,123.69,0,53,10,218 109th Ave SE Bellevue WA 98004 USA,47.6074562,-122.1948109,5,0.177333333,95
328,4,2.5,220.41,604.5,2,0,0,3,220.41,0,16,8,12621 SE 300th Way Auburn WA 98092 USA,47.3327726,-122.1731514,5,0.364615385,96
435,5,2,171.12,859.32,1,0,0,4,143.22,27.9,72,56,14013 Ashworth Ave N Seattle WA 98133 USA,47.7307859,-122.3399587,5,0.199134199,97
499,4,2.5,270.63,602.547,2,0,0,3,270.63,0,8,8,34010 SE Sorenson St Snoqualmie WA 98065 USA,47.5402097,-121.8869324,5,0.449143386,98
501,4,1,192.51,699.267,1,0,0,3,107.88,84.63,51,6,2506 166th Ave NE Bellevue WA 98008 USA,47.632001,-122.1189959,5,0.275302567,99
1090,4,2.5,403.62,13166.01,2.5,0,0,3,403.62,0,22,22,8814 218th Ave NE Redmond WA 98053 USA,47.6805577,-122.0475916,5,0.030656212,100
400,2,1,78.12,512.43,1,0,0,3,78.12,0,59,9,4515 SW Trenton St Seattle WA 98136 USA,47.524647,-122.3909385,5,0.152450091,101
220,4,1.5,115.32,892.8,1,0,0,3,115.32,0,43,43,4924 SW 314th Pl Federal Way WA 98023 USA,47.3205621,-122.3969767,5,0.129166667,102
657.1,4,1,129.27,394.32,1,0,0,3,97.65,31.62,90,3,4312 Woodlawn Ave N Seattle WA 98103 USA,47.6596301,-122.3382523,5,0.327830189,103
309.95,4,2.75,214.83,465,2,0,0,3,214.83,0,8,8,22912 SE 268th Pl Maple Valley WA 98038 USA,47.3614417,-122.0349501,5,0.462,104
300,3,2,97.65,936.696,1,0,0,3,97.65,0,28,28,27106 NE Miller St Duvall WA 98019 USA,47.734079,-121.9760972,5,0.104249404,105
525.888,5,1.75,237.15,6684.282,1,0,0,5,168.33,68.82,54,54,13129 195th Pl SE Issaquah WA 98027 USA,47.4845589,-122.0799649,5,0.035478754,106
740,4,1.75,186.93,334.8,1.5,0,0,3,186.93,0,112,112,1014 W Garfield St Seattle WA 98119 USA,47.6336918,-122.3711768,5,0.558333333,107
340,5,1,104.16,839.046,1.5,0,0,4,104.16,0,52,52,14150 75th Ave NE Kirkland WA 98034 USA,47.7296221,-122.2401674,5,0.124140989,108
398.75,3,2.5,207.39,372,2,0,0,3,207.39,0,60,9,2601 21st Ave S Seattle WA 98144 USA,47.5801276,-122.3058881,5,0.5575,109
206,2,1,75.33,665.694,1,0,0,5,75.33,0,70,70,12807 7th Ave S Burien WA 98168 USA,47.4881909,-122.3248824,5,0.113160101,110
1030,5,2.75,296.67,1573.56,1,0,3,3,157.17,139.5,38,38,4529 135th Ave SE Bellevue WA 98006 USA,47.5641071,-122.1599131,5,0.188534279,111
600,3,1.75,155.31,3686.427,1,0,0,4,155.31,0,38,22,1804 E Beaver Lake Dr SE Sammamish WA 98075 USA,47.5929508,-121.9886857,5,0.042130225,112
379.95,4,1.75,183.21,873.177,1,0,0,5,106.02,77.19,54,54,1701 N 204th Pl Shoreline WA 98133 USA,47.7770899,-122.339098,5,0.209820002,113
287,3,1,134.85,558,1,0,0,4,134.85,0,61,31,8681 Beacon Ave S Seattle WA 98118 USA,47.5239168,-122.2868555,5,0.241666667,114
309.95,3,2.5,174.84,728.934,2,0,0,3,174.84,0,20,20,17717 113th Pl SE Renton WA 98055 USA,47.4438258,-122.1901007,5,0.239857106,115
600,3,1.75,174.84,591.48,1,0,0,4,96.72,78.12,69,69,8040 39th Ave NE Seattle WA 98115 USA,47.6878543,-122.2860673,5,0.295597484,116
418,3,2,131.13,560.79,1.5,0,0,4,131.13,0,84,84,901 N 97th St Seattle WA 98103 USA,47.6994583,-122.3470924,5,0.233830846,117
449.25,4,2,137.64,357.492,1.5,0,0,5,137.64,0,86,44,519 N 104th St Seattle WA 98133 USA,47.7041959,-122.351928,5,0.385015609,118
329.95,2,1,106.02,488.25,1.5,0,0,4,106.02,0,65,29,14017 Roslyn Pl N Seattle WA 98133 USA,47.7310334,-122.3409582,5,0.217142857,119
245,3,1.75,178.56,865.458,1,0,0,3,93,85.56,30,30,30001-30021 55th Pl S Auburn WA 98001 USA,47.3319198,-122.2669632,5,0.206318504,120
549,4,2.5,270.63,589.434,2,0,0,3,270.63,0,6,6,16026 SE 137th Terrace Renton WA 98059 USA,47.4804139,-122.1261331,5,0.459135374,121
800,3,2.5,301.32,730.701,2,0,0,3,301.32,0,20,20,22721-22727 SE 27th St Sammamish WA 98075 USA,47.585488,-122.0383484,5,0.412371134,122
249.95,3,2,144.15,1398.72,1,0,0,4,144.15,0,56,42,18027 SE 128th St Renton WA 98059 USA,47.4872086,-122.099055,5,0.103058511,123
210,5,2,190.65,948.6,1,0,0,3,132.99,57.66,58,13,20927-20999 2nd Ave S Des Moines WA 98198 USA,47.4138744,-122.3331978,5,0.200980392,124
1425,2,2.5,206.46,372,2,0,0,3,206.46,0,14,14,1857 41st Ave E Seattle WA 98112 USA,47.6363927,-122.2799529,5,0.555,125
585,2,1,164.61,803.52,1.5,0,0,3,141.36,23.25,65,16,353 NW 88th St Seattle WA 98117 USA,47.6925897,-122.3628826,5,0.204861111,126
615,4,1.75,213.9,1088.1,1,0,0,4,182.28,31.62,37,37,18427 NE 26th Way Redmond WA 98052 USA,47.6331589,-122.0939372,5,0.196581197,127
618.5,3,2,167.4,465,1,0,0,4,100.44,66.96,72,32,2803 NE 62nd St Seattle WA 98115 USA,47.6738075,-122.2971814,5,0.36,128
487.585,4,1.75,186.93,856.623,1,0,0,3,136.71,50.22,37,10,13313 127th Pl NE Kirkland WA 98034 USA,47.7205249,-122.1708723,5,0.218217349,129
509.9,3,2.5,166.47,251.1,2,0,0,3,166.47,0,4,4,4532 185th Ave SE Issaquah WA 98027 USA,47.5639959,-122.0929375,5,0.662962963,130
631.625,4,2.5,226.92,618.543,2,0,0,3,226.92,0,0,0,9288-9358 Holman Rd NW Seattle WA 98117 USA,47.6969954,-122.371391,5,0.366862126,131
555,3,2.5,180.42,298.623,2,0,0,3,180.42,0,5,5,4509 185th Ave SE Issaquah WA 98027 USA,47.564456,-122.092989,5,0.604173155,132
830,4,2.5,316.2,901.356,2,0,0,3,316.2,0,7,7,12001 173rd Pl NE Redmond WA 98052 USA,47.7079903,-122.1092431,5,0.350804787,133
890,4,4.25,411.06,534.75,2,0,0,3,317.13,93.93,8,8,842 Summerhill Ridge Dr NW Issaquah WA 98027 USA,47.5403087,-122.0728517,5,0.768695652,134
366.75,3,3,146.103,187.581,3,0,0,3,146.103,0,6,6,14359 19th Ave NE Seattle WA 98125 USA,47.7337712,-122.308902,5,0.778879524,135
478,3,2.5,282.72,421.755,2,0,0,3,282.72,0,7,7,2027 Ferndale Ave NE Renton WA 98056 USA,47.5100223,-122.1849391,5,0.670341786,136
890,5,3.5,417.57,558,2,0,0,3,297.6,119.97,8,8,792 Summerhill Ridge Dr NW Issaquah WA 98027 USA,47.5396659,-122.0728196,5,0.748333333,137
712.198,4,2.5,227.85,394.971,2,0,0,3,227.85,0,1,91,17122 NE 117th St Redmond WA 98052 USA,47.7050655,-122.1119573,5,0.576877796,138
397,4,2,133.92,714.24,1,0,0,3,111.6,22.32,43,43,10601 NE 138th Pl Kirkland WA 98034 USA,47.7245029,-122.1997794,5,0.1875,139
450,2,2,102.3,279,1.5,0,0,3,102.3,0,102,9,412 NW 70th St Seattle WA 98117 USA,47.6797401,-122.3620884,5,0.366666667,140
353,3,1,125.55,719.82,1,0,0,4,79.98,45.57,67,26,11051 35th Ave NE Seattle WA 98125 USA,47.7098296,-122.291041,5,0.174418605,141
609,4,2.5,199.95,3532.233,2,0,0,3,199.95,0,29,29,18114 NE 136th St Redmond WA 98052 USA,47.72261,-122.09788,5,0.056607251,142
234,3,1.75,138.57,778.038,1,0,0,4,93.93,44.64,39,39,25305 151st Pl SE Covington WA 98042 USA,47.375023,-122.1397341,5,0.178101841,143
561,3,2,186,651,2,0,0,3,186,0,98,28,6422 Marshall Ave SW Seattle WA 98136 USA,47.5451492,-122.3930484,5,0.285714286,144
469,2,1,95.79,409.2,1,0,0,3,95.79,0,90,3,310 NW 72nd St Seattle WA 98117 USA,47.6809408,-122.3610462,5,0.234090909,145
329.35,2,1,66.96,621.891,1,0,0,3,66.96,0,72,15,9712 4th Ave NW Seattle WA 98117 USA,47.7001116,-122.3617554,5,0.107671602,146
488,5,2,187.86,465,1.5,0,0,4,187.86,0,76,76,9020-9024 11th Ave NW Seattle WA 98117 USA,47.6948051,-122.369744,5,0.404,147
279.9,3,1.75,146.94,758.043,1,0,1,4,102.3,44.64,52,52,1629 S 261st Pl Des Moines WA 98198 USA,47.3672184,-122.3119232,5,0.193841246,148
606,4,2.5,196.23,1288.05,2,0,0,3,196.23,0,27,14,2755 NW Pine Cone Dr Issaquah WA 98027 USA,47.5497266,-122.0771114,5,0.15234657,149
312,4,2,120.9,656.022,1,0,0,3,120.9,0,64,1,2815 SW 107th St Seattle WA 98146 USA,47.5070614,-122.3690675,5,0.1842926,150
650,3,1.5,151.59,695.175,1,0,1,3,107.88,43.71,74,18,6009 52nd Ave NE Seattle WA 98115 USA,47.6725002,-122.2719377,5,0.218060201,151
1135,4,2.75,313.41,753.579,1,0,3,3,183.21,130.2,44,0,3922 SW Henderson St Seattle WA 98136 USA,47.5230521,-122.3831302,5,0.415895347,152
325,4,2.5,175.77,572.508,1,0,0,3,91.14,84.63,34,34,5631 17th Ave SW Seattle WA 98106 USA,47.5509457,-122.3562678,5,0.307017544,153
425,4,2,141.36,742.419,1,0,0,5,141.36,0,47,47,14876 Juanita Woodinville Way NE Inglewood-Finn Hill WA 98034 USA,47.7357391,-122.1930266,5,0.19040461,154
219,2,1,83.7,479.88,1,0,0,3,83.7,0,62,6,8652 17th Ave SW Seattle WA 98106 USA,47.5249621,-122.3560921,5,0.174418605,155
250,3,1,97.65,639.282,1,0,0,3,97.65,0,60,9,18305 Dayton Ave N Shoreline WA 98133 USA,47.7619746,-122.3553052,5,0.152749491,156
390,3,1.75,117.18,604.5,1,0,0,4,117.18,0,48,48,1415 168th Ave NE Bellevue WA 98008 USA,47.6224772,-122.1162229,5,0.193846154,157
475,6,3,322.71,10937.916,1.5,0,0,3,322.71,0,90,3,19007 80th Ave NE Kenmore WA 98028 USA,47.7659838,-122.2338,5,0.029503792,158
736,4,2.5,212.97,1120.371,2,0,0,4,212.97,0,26,26,17435 SE 47th St Bellevue WA 98006 USA,47.5600082,-122.1050194,5,0.190088819,159
407,4,2.25,261.33,2176.2,1,0,1,3,159.03,102.3,56,10,23024-23198 17th Ave S Des Moines WA 98198 USA,47.3955098,-122.3111379,5,0.12008547,160
272,3,2.5,153.45,1284.888,2,0,0,3,153.45,0,16,8,32000-32072 NE 55th St Carnation WA 98014 USA,47.6551834,-121.9122988,5,0.119426752,161
362,3,2.25,152.52,1336.782,1,0,0,4,106.02,46.5,51,51,17253 Ambaum Blvd S Burien WA 98148 USA,47.4476527,-122.3315997,5,0.114094894,162
535,3,2.5,172.05,940.137,2,0,0,3,172.05,0,23,23,8409 NE 129th Pl Kirkland WA 98034 USA,47.7163167,-122.2290148,5,0.183005243,163
284,4,2.5,186,501.27,2,0,0,3,186,0,11,11,25434 160th Ave SE Kent WA 98042 USA,47.3733887,-122.1286413,5,0.371057514,164
367.5,3,1.5,131.13,897.171,1,0,0,3,131.13,0,53,10,18048 3rd Ave NW Shoreline WA 98177 USA,47.7608768,-122.3608267,5,0.146159428,165
379.9,4,1.75,139.5,1078.8,1,0,0,4,93,46.5,59,5,15007 75th Ave NE Kenmore WA 98028 USA,47.7373408,-122.2412625,5,0.129310345,166
520,3,2.5,228.78,5104.305,2,0,0,4,228.78,0,34,34,5424 NE 10th St Renton WA 98059 USA,47.4996384,-122.1460272,5,0.044820989,167
345,4,2.5,216.783,355.818,2,0,0,3,216.783,0,7,7,11853 SE 176th Ct Renton WA 98058 USA,47.4444086,-122.1820213,5,0.609252483,168
