序号,链接,标题,图片链接,来源
10,https://www.redfin.com/WA/Seattle/5018-Greenwood-Ave-N-98103/home/298613,"5018 Greenwood Ave N,Seattle, WA 98103","https://ssl.cdn-redfin.com/system_files/media/859215_JPG/item_77.jpg",1.html
11,https://www.redfin.com/WA/Seattle/2926-1st-Ave-N-98109/home/131436,"2926 1st Ave N,Seattle, WA 98109","https://ssl.cdn-redfin.com/system_files/media/862237_JPG/item_2.jpg",1.html
12,https://www.redfin.com/WA/Seattle/2911-2nd-Ave-98121/unit-714/home/21616582,"2911 2nd Ave #714,Seattle, WA 98121","https://ssl.cdn-redfin.com/photo/1/bigphoto/513/2171513_0.jpg",1.html
13,https://www.redfin.com/WA/Seattle/3821-19th-Ave-SW-98106/home/179850372,"3821 19th Ave SW,Seattle, WA 98106","https://ssl.cdn-redfin.com/photo/1/bigphoto/281/2167281_0.jpg",1.html
14,https://www.redfin.com/WA/Seattle/10020-Dibble-Ave-NW-98177/home/96769,"10020 Dibble Ave NW,Seattle, WA 98177","https://ssl.cdn-redfin.com/photo/1/bigphoto/789/2171789_0.jpg",1.html
15,https://www.redfin.com/WA/Seattle/129-Martin-Luther-King-Jr-Way-E-98112/home/146827,"129 Martin Luther King Jr Way E,Seattle, WA 98112","https://ssl.cdn-redfin.com/photo/1/bigphoto/145/2170145_0.jpg",1.html
16,https://www.redfin.com/WA/Seattle/6100-24th-Ave-NW-98107/home/2075691,"6100 24th Ave NW,Seattle, WA 98107","https://ssl.cdn-redfin.com/photo/1/bigphoto/776/2171776_0.jpg",1.html
17,https://www.redfin.com/WA/Seattle/1711-E-Olive-Way-98102/unit-511/home/22685399,"1711 E Olive Way #511,Seattle, WA 98102","https://ssl.cdn-redfin.com/photo/1/bigphoto/464/2171464_0.jpg",1.html
18,https://www.redfin.com/WA/Seattle/3715-Magnolia-Blvd-W-98199/home/128294,"3715 Magnolia Blvd W,Seattle, WA 98199","https://ssl.cdn-redfin.com/photo/1/bigphoto/754/2171754_0.jpg",1.html
19,https://www.redfin.com/WA/Seattle/37th-Ave-S-98118/home/101644948,"0 37th Ave S,Seattle, WA 98118","https://ssl.cdn-redfin.com/photo/1/bigphoto/629/2171629_0.jpg",1.html
20,https://www.realestate.co.nz/42439543/residential/sale/4-bongard-road-mission-bay,"4 Bongard Road, Mission Bay","https://mediaserver.realestate.co.nz/listings/42439543/9dcf7ca957c4d1175db85c76b9e11eab.crop.10x8.jpg?options=compress,blur",2.html
21,https://www.realestate.co.nz/42434896/residential/sale/58-bay-vista-drive-red-beach,"58 Bay Vista Drive, Red Beach","https://mediaserver.realestate.co.nz/listings/42434896/a345c416c78b01bc1597273f0e79628d.crop.10x8.jpg?options=compress,blur",2.html
22,https://www.realestate.co.nz/42438995/residential/sale/2-11-taranaki-road-kohimarama,"2/11 Taranaki Road, Kohimarama","https://mediaserver.realestate.co.nz/listings/42438995/c159e9c8a35b1af51f6fdf826de4c7c6.crop.10x8.jpg?options=compress,blur",2.html
23,https://www.realestate.co.nz/42439791/residential/sale/32-tiverton-road-avondale,"32 Tiverton Road, Avondale","https://mediaserver.realestate.co.nz/listings/42439791/f10ac64899c4e717cef719418def306d.crop.10x8.jpg?options=compress,blur",2.html
24,https://www.realestate.co.nz/42438898/residential/sale/39-williamson-avenue-belmont,"39 Williamson Avenue, Belmont","https://mediaserver.realestate.co.nz/listings/42438898/ce76b60383d9d1b2439c8fbbaa1c4bc4.crop.10x8.jpg?options=compress,blur",2.html
25,https://www.realestate.co.nz/42431555/residential/sale/160-ennis-avenue-pakuranga,"160 Ennis Avenue, Pakuranga","https://mediaserver.realestate.co.nz/listings/42431555/b86dffeaa0e541950367b00777a7d28f.crop.10x8.jpg?options=compress,blur",2.html
26,https://www.realestate.co.nz/42439489/residential/sale/8-pheasant-close-stanmore-bay,"8 Pheasant Close, Stanmore Bay","https://mediaserver.realestate.co.nz/listings/42439489/819d3189a2299df0f85a1485352b3133.crop.10x8.jpg?options=compress,blur",2.html
27,https://www.realestate.co.nz/42439244/residential/sale/4-fitzpatrick-place-chatswood,"4 Fitzpatrick Place, Chatswood","https://mediaserver.realestate.co.nz/listings/42439244/ee17dc2c215fde29996d2d25c31d1d22.crop.10x8.jpg?options=compress,blur",2.html
28,https://www.realestate.co.nz/42435834/rural/sale/782-ararimu-road-ararimu,"782 Ararimu Road, Ararimu","https://mediaserver.realestate.co.nz/listings/42435834/8f2b20f0ace41f9c86ffe433a50e8139.crop.10x8.jpg?options=compress,blur",2.html
29,https://www.realestate.co.nz/42439576/residential/sale/p1-30-york-street-parnell,"P1/30 York Street, Parnell","https://mediaserver.realestate.co.nz/listings/42439576/332b0d9c4db515109645d47135f8e5b4.crop.10x8.jpg?options=compress,blur",2.html
30,https://www.realestate.co.nz/42431647/residential/sale/11-commissariat-road-mount-wellington,"11 Commissariat Road, Mount Wellington","https://mediaserver.realestate.co.nz/listings/42431647/ffd4622b5a02789256fb9836bae939ed.crop.10x8.jpg?options=compress,blur",2.html
31,https://www.realestate.co.nz/42434782/residential/sale/59b-raurenga-avenue-royal-oak,"59B Raurenga Avenue, Royal Oak","https://mediaserver.realestate.co.nz/listings/42434782/060e9356b4cf149f014609082808b0b2.crop.10x8.jpg?options=compress,blur",2.html
32,https://www.realestate.co.nz/42431897/residential/sale/9b-lydia-avenue-northcote,"9B Lydia Avenue, Northcote","https://mediaserver.realestate.co.nz/listings/42431897/05aa6b116d2e13145d9530917019a6bf.crop.10x8.jpg?options=compress,blur",2.html
33,https://www.realestate.co.nz/42431436/residential/sale/52-intrepid-crescent-beachlands,"52 Intrepid Crescent, Beachlands","https://mediaserver.realestate.co.nz/listings/42431436/66a142062095c6b1ff0af1dcfdfe4a92.crop.10x8.jpg?options=compress,blur",2.html
34,https://www.realestate.co.nz/42435139/residential/sale/6-silverwood-drive-flat-bush,"6 Silverwood Drive, Flat Bush","https://mediaserver.realestate.co.nz/listings/42435139/a0fb4ec5bccee82b8445459bb39427ef.crop.10x8.jpg?options=compress,blur",2.html
35,https://www.realestate.co.nz/42433089/residential/sale/1-668-whangaparaoa-road-stanmore-bay,"1/668 Whangaparaoa Road, Stanmore Bay","https://mediaserver.realestate.co.nz/listings/42433089/b37f12335c4357d98ad6388e6d137458.crop.10x8.jpg?options=compress,blur",2.html
36,https://www.realestate.co.nz/42435126/residential/sale/1-grove-road-devonport,"1 Grove Road, Devonport","https://mediaserver.realestate.co.nz/listings/42435126/3fd1119b0a7d467eb42e62ed781910e2.crop.10x8.jpg?options=compress,blur",2.html
37,https://www.realestate.co.nz/42435781/rural/sale/670-findlay-road-miranda,"670 Findlay Road, Miranda","https://mediaserver.realestate.co.nz/listings/42435781/066ebf6331667336e4c838f1e3759deb.crop.10x8.jpg?options=compress,blur",2.html
38,https://www.realestate.co.nz/42434853/residential/sale/11-view-road-papakura,"11 View Road, Papakura","https://mediaserver.realestate.co.nz/listings/42434853/012eab8c7b5cbfc1416fb4e8864e0716.crop.10x8.jpg?options=compress,blur",2.html
39,https://www.realestate.co.nz/42432116/residential/sale/11-warren-avenue-three-kings,"11 Warren Avenue, Three Kings","https://mediaserver.realestate.co.nz/listings/42432116/7cba4105a931c2558dad3a7b3218ce97.crop.10x8.jpg?options=compress,blur",2.html
