date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,Address,Latitude,Longitude,Year,Month
2014-05-02,630000,4.0,2.75,2710,37277,2.0,0,0,3,2710,0,2000,0,26429 SE 154th Pl,Issaquah,WA 98027,USA,26429 SE 154th Pl Issaquah WA 98027 USA,47.4634486,-121.9873405,2014,5
2014-05-02,550000,3.0,1.75,2910,35200,1.5,0,0,3,2910,0,1979,2014,3923 229th Pl SE,Sammamish,WA 98075,USA,3923 229th Pl SE Sammamish WA 98075 USA,47.5746867,-122.0346475,2014,5
2014-05-02,805000,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,1929,0,6222 30th Ave NE,Seattle,WA 98115,USA,6222 30th Ave NE Seattle WA 98115 USA,47.6746781,-122.2950956,2014,5
2014-05-02,284000,3.0,1.75,1800,23103,1.0,0,0,3,1800,0,1968,1997,32418 NE 50th St,Carnation,WA 98014,USA,32418 NE 50th St Carnation WA 98014 USA,47.651715,-121.9061276,2014,5
2014-05-02,470000,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,1976,0,19334 89th Ave NE,Bothell,WA 98011,USA,19334 89th Ave NE Bothell WA 98011 USA,47.7697716,-122.2222646,2014,5
2014-05-02,430000,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,1954,1979,4071 156th Ave SE,Bellevue,WA 98006,USA,4071 156th Ave SE Bellevue WA 98006 USA,47.57248569999999,-122.1331404,2014,5
2014-05-02,491500,4.0,1.75,2190,125452,1.0,0,2,3,2190,0,1968,1997,36850 204th Ave SE,Auburn,WA 98092,USA,36850 204th Ave SE Auburn WA 98092 USA,47.2706277,-122.0691828,2014,5
2014-05-02,785000,5.0,3.25,3660,11995,2.0,0,2,3,3660,0,2006,0,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA,7425 Snowberry Ave SE Snoqualmie WA 98065 USA,47.5336787,-121.8597116,2014,5
2014-05-02,385000,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,2008,0,3400 21st Ave W,Seattle,WA 98199,USA,3400 21st Ave W Seattle WA 98199 USA,47.6506106,-122.3829756,2014,5
2014-05-02,295000,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,2009,0,5944-6082 Delridge Way SW,Seattle,WA 98106,USA,5944-6082 Delridge Way SW Seattle WA 98106 USA,47.5495409,-122.3622773,2014,5
2014-05-02,555000,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,2012,1912,35229 SE Terrace St,Snoqualmie,WA 98065,USA,35229 SE Terrace St Snoqualmie WA 98065 USA,47.5150112,-121.8699222,2014,5
2014-05-02,459990,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,2013,1923,13800 453rd Ave SE,North Bend,WA 98045,USA,13800 453rd Ave SE North Bend WA 98045 USA,47.4755672,-121.7348541,2014,5
2014-05-02,625000,4.0,3.25,2730,54014,1.0,0,0,3,1560,1170,2007,0,9927 174th Ave SE,Renton,WA 98059,USA,9927 174th Ave SE Renton WA 98059 USA,47.51327149999999,-122.1098067,2014,5
2014-05-02,300000,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,2006,0,29734 215th Terrace SE,Kent,WA 98042,USA,29734 215th Terrace SE Kent WA 98042 USA,47.3358669,-122.0549459,2014,5
2014-05-03,625000,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,2012,1912,5608 NE 5th Cir,Renton,WA 98059,USA,5608 NE 5th Cir Renton WA 98059 USA,47.4910248,-122.143998,2014,5
2014-05-03,553000,2.0,1.0,900,5000,1.0,0,0,3,900,0,1944,0,8053 29th Ave NW,Seattle,WA 98117,USA,8053 29th Ave NW Seattle WA 98117 USA,47.6883338,-122.3947028,2014,5
2014-05-03,379880,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,1986,0,13256 242nd Pl SE,Issaquah,WA 98027,USA,13256 242nd Pl SE Issaquah WA 98027 USA,47.482009,-122.0167927,2014,5
2014-05-03,310000,3.0,1.0,1010,9945,1.0,0,0,4,1010,0,1973,0,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA,7528 N Fork Rd SE Snoqualmie WA 98065 USA,47.53211959999999,-121.7628864,2014,5
2014-05-04,775000,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,2004,2003,13134 234th Ct NE,Redmond,WA 98053,USA,13134 234th Ct NE Redmond WA 98053 USA,47.7169084,-122.0262098,2014,5
2014-05-04,365000,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,1988,0,13420 SE 182nd St,Renton,WA 98058,USA,13420 SE 182nd St Renton WA 98058 USA,47.4395341,-122.1609594,2014,5
2014-05-04,331950,4.0,2.5,2530,9933,2.0,0,2,3,2010,520,1990,2009,925 48th Ct,Auburn,WA 98092,USA,925 48th Ct Auburn WA 98092 USA,47.265438,-122.2160703,2014,5
2014-05-04,783500,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,1980,0,151 Euclid Ave,Seattle,WA 98122,USA,151 Euclid Ave Seattle WA 98122 USA,47.6029883,-122.2889888,2014,5
2014-05-04,628000,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005,205-206 Euclid Ave,Seattle,WA 98122,USA,205-206 Euclid Ave Seattle WA 98122 USA,47.6033774,-122.2891122,2014,5
2014-05-05,560000,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,1987,2000,22314 NE 11th Pl,Sammamish,WA 98074,USA,22314 NE 11th Pl Sammamish WA 98074 USA,47.61996,-122.042937,2014,5
2014-05-05,900000,3.0,1.0,1330,77972,1.0,0,0,3,1330,0,1928,1954,13615 NE 100th St,Kirkland,WA 98033,USA,13615 NE 100th St Kirkland WA 98033 USA,47.689213,-122.1590937,2014,5
2014-05-05,531000,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,2000,0,1411 N 48th St,Seattle,WA 98103,USA,1411 N 48th St Seattle WA 98103 USA,47.6633104,-122.3400369,2014,5
2014-05-05,831000,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011,120 31st Ave E,Seattle,WA 98112,USA,120 31st Ave E Seattle WA 98112 USA,47.6195291,-122.2920521,2014,5
2014-05-05,780000,4.0,2.5,2730,10281,2.0,0,2,3,2730,0,1996,0,23140 NE 14th Ct,Sammamish,WA 98074,USA,23140 NE 14th Ct Sammamish WA 98074 USA,47.6226887,-122.0291119,2014,5
2014-05-05,755000,4.0,2.5,2120,10202,1.0,0,0,4,1620,500,1960,2001,12645 SE 27th St,Bellevue,WA 98005,USA,12645 SE 27th St Bellevue WA 98005 USA,47.585775,-122.169997,2014,5
2014-05-05,705380,3.0,2.5,2490,4343,2.0,0,0,3,2490,0,2003,0,3187 NE Larkspur Ln,Issaquah,WA 98029,USA,3187 NE Larkspur Ln Issaquah WA 98029 USA,47.5493365,-121.9929221,2014,5
2014-05-05,627000,4.0,2.25,1990,7712,1.0,0,0,3,1210,780,1973,2013,18915 SE 42nd Pl,Issaquah,WA 98027,USA,18915 SE 42nd Pl Issaquah WA 98027 USA,47.56873090000001,-122.0871409,2014,5
2014-05-05,865000,4.0,3.0,3690,9892,2.0,0,0,3,3690,0,1998,2006,1765 267th Ct SE,Sammamish,WA 98075,USA,1765 267th Ct SE Sammamish WA 98075 USA,47.5935706,-121.9822084,2014,5
2014-05-05,580000,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,1942,0,8624 Island Dr S,Seattle,WA 98118,USA,8624 Island Dr S Seattle WA 98118 USA,47.5260781,-122.260698,2014,5
2014-05-05,410000,3.0,2.25,1800,36704,1.0,0,0,4,1360,440,1978,2000,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA,24502 SE Mirrormont Dr Issaquah WA 98027 USA,47.4687622,-122.0130935,2014,5
2014-05-05,485000,4.0,3.0,2340,7048,1.0,0,0,4,1340,1000,1979,0,14319 85th Pl NE,Kirkland,WA 98034,USA,14319 85th Pl NE Kirkland WA 98034 USA,47.7307544,-122.2271211,2014,5
2014-05-05,400000,2.0,1.75,2110,9519,1.0,0,0,2,2110,0,1948,0,2120 NE 168th St,Shoreline,WA 98155,USA,2120 NE 168th St Shoreline WA 98155 USA,47.7504786,-122.3059352,2014,5
2014-05-05,549000,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,1908,0,209 30th Ave E,Seattle,WA 98112,USA,209 30th Ave E Seattle WA 98112 USA,47.6205338,-122.2937905,2014,5
2014-05-05,620000,3.0,1.75,1480,2185,2.5,0,0,3,1480,0,2005,0,10512 128th Ave NE,Kirkland,WA 98033,USA,10512 128th Ave NE Kirkland WA 98033 USA,47.6945527,-122.1699573,2014,5
2014-05-05,405000,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,2006,0,9126 45th Ave SW,Seattle,WA 98136,USA,9126 45th Ave SW Seattle WA 98136 USA,47.522009,-122.3899365,2014,5
2014-05-05,232000,2.0,1.0,1200,8063,1.0,0,0,4,1200,0,1958,1972,20220 8th Ave S,Des Moines,WA 98198,USA,20220 8th Ave S Des Moines WA 98198 USA,47.4204027,-122.3238547,2014,5
2014-05-05,800866,5.0,2.5,3180,13806,2.0,0,0,4,3180,0,1990,0,11821 NE 48th Pl,Kirkland,WA 98033,USA,11821 NE 48th Pl Kirkland WA 98033 USA,47.65193379999999,-122.1821678,2014,5
2014-05-05,650000,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,1949,1985,13026 10th Ave NW,Seattle,WA 98177,USA,13026 10th Ave NW Seattle WA 98177 USA,47.7241317,-122.3688303,2014,5
2014-05-05,823000,6.0,1.75,2920,5000,2.5,0,0,4,2780,140,1908,0,125 29th Ave,Seattle,WA 98122,USA,125 29th Ave Seattle WA 98122 USA,47.6024775,-122.295228,2014,5
2014-05-05,770000,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,1939,1989,2171 Boyer Ave E,Seattle,WA 98112,USA,2171 Boyer Ave E Seattle WA 98112 USA,47.6389557,-122.3100465,2014,5
2014-05-05,524000,3.0,1.75,1560,5520,1.0,0,0,4,780,780,1944,0,3434 33rd Ave W,Seattle,WA 98199,USA,3434 33rd Ave W Seattle WA 98199 USA,47.6515299,-122.3992681,2014,5
2014-05-05,541125,5.0,2.75,2740,8426,1.0,0,0,4,1370,1370,1960,2001,5211 116th Pl SE,Bellevue,WA 98006,USA,5211 116th Pl SE Bellevue WA 98006 USA,47.5562423,-122.1837915,2014,5
2014-05-05,670000,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,1909,1998,3503 NE 44th St,Seattle,WA 98105,USA,3503 NE 44th St Seattle WA 98105 USA,47.6603665,-122.2900597,2014,5
2014-05-05,384900,5.0,2.5,3090,12750,1.0,0,0,3,1750,1340,1968,1997,114 SW 292nd St,Federal Way,WA 98023,USA,114 SW 292nd St Federal Way WA 98023 USA,47.3407902,-122.3350896,2014,5
2014-05-05,406100,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,2005,0,8536 Interlake Ave N,Seattle,WA 98103,USA,8536 Interlake Ave N Seattle WA 98103 USA,47.6916132,-122.3400079,2014,5
2014-05-05,1395000,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,0,3930 NE Belvoir Pl,Seattle,WA 98105,USA,3930 NE Belvoir Pl Seattle WA 98105 USA,47.6577362,-122.285757,2014,5
2014-05-05,736500,4.0,2.5,3180,21904,2.0,0,3,3,3180,0,2000,0,17132 SE 100th St,Renton,WA 98059,USA,17132 SE 100th St Renton WA 98059 USA,47.5149566,-122.1173811,2014,5
2014-05-05,570000,3.0,2.25,2010,6000,1.0,0,0,3,1330,680,1975,0,10204 168th Pl NE,Redmond,WA 98052,USA,10204 168th Pl NE Redmond WA 98052 USA,47.69131780000001,-122.1151204,2014,5
2014-05-05,787000,3.0,1.75,1330,7500,1.0,0,0,3,1330,0,1961,2004,218 109th Ave SE,Bellevue,WA 98004,USA,218 109th Ave SE Bellevue WA 98004 USA,47.60745619999999,-122.1948109,2014,5
2014-05-05,328000,4.0,2.5,2370,6500,2.0,0,0,3,2370,0,1998,2006,12621 SE 300th Way,Auburn,WA 98092,USA,12621 SE 300th Way Auburn WA 98092 USA,47.3327726,-122.1731514,2014,5
2014-05-05,435000,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,1942,1958,14013 Ashworth Ave N,Seattle,WA 98133,USA,14013 Ashworth Ave N Seattle WA 98133 USA,47.7307859,-122.3399587,2014,5
2014-05-05,499000,4.0,2.5,2910,6479,2.0,0,0,3,2910,0,2006,0,34010 SE Sorenson St,Snoqualmie,WA 98065,USA,34010 SE Sorenson St Snoqualmie WA 98065 USA,47.5402097,-121.8869324,2014,5
2014-05-05,501000,4.0,1.0,2070,7519,1.0,0,0,3,1160,910,1963,2008,2506 166th Ave NE,Bellevue,WA 98008,USA,2506 166th Ave NE Bellevue WA 98008 USA,47.632001,-122.1189959,2014,5
2014-05-05,1090000,4.0,2.5,4340,141570,2.5,0,0,3,4340,0,1992,0,8814 218th Ave NE,Redmond,WA 98053,USA,8814 218th Ave NE Redmond WA 98053 USA,47.6805577,-122.0475916,2014,5
2014-05-05,400000,2.0,1.0,840,5510,1.0,0,0,3,840,0,1955,2005,4515 SW Trenton St,Seattle,WA 98136,USA,4515 SW Trenton St Seattle WA 98136 USA,47.52464699999999,-122.3909385,2014,5
2014-05-05,220000,4.0,1.5,1240,9600,1.0,0,0,3,1240,0,1971,0,4924 SW 314th Pl,Federal Way,WA 98023,USA,4924 SW 314th Pl Federal Way WA 98023 USA,47.3205621,-122.3969767,2014,5
2014-05-05,657100,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,1924,2011,4312 Woodlawn Ave N,Seattle,WA 98103,USA,4312 Woodlawn Ave N Seattle WA 98103 USA,47.6596301,-122.3382523,2014,5
2014-05-05,309950,4.0,2.75,2310,5000,2.0,0,0,3,2310,0,2006,0,22912 SE 268th Pl,Maple Valley,WA 98038,USA,22912 SE 268th Pl Maple Valley WA 98038 USA,47.3614417,-122.0349501,2014,5
2014-05-05,300000,3.0,2.0,1050,10072,1.0,0,0,3,1050,0,1986,0,27106 NE Miller St,Duvall,WA 98019,USA,27106 NE Miller St Duvall WA 98019 USA,47.734079,-121.9760972,2014,5
2014-05-05,525888,5.0,1.75,2550,71874,1.0,0,0,5,1810,740,1960,0,13129 195th Pl SE,Issaquah,WA 98027,USA,13129 195th Pl SE Issaquah WA 98027 USA,47.4845589,-122.0799649,2014,5
2014-05-05,740000,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,1902,0,1014 W Garfield St,Seattle,WA 98119,USA,1014 W Garfield St Seattle WA 98119 USA,47.6336918,-122.3711768,2014,5
2014-05-05,340000,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,1962,0,14150 75th Ave NE,Kirkland,WA 98034,USA,14150 75th Ave NE Kirkland WA 98034 USA,47.7296221,-122.2401674,2014,5
2014-05-05,398750,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,1954,2005,2601 21st Ave S,Seattle,WA 98144,USA,2601 21st Ave S Seattle WA 98144 USA,47.5801276,-122.3058881,2014,5
2014-05-05,206000,2.0,1.0,810,7158,1.0,0,0,5,810,0,1944,0,12807 7th Ave S,Burien,WA 98168,USA,12807 7th Ave S Burien WA 98168 USA,47.48819090000001,-122.3248824,2014,5
2014-05-05,1030000,5.0,2.75,3190,16920,1.0,0,3,3,1690,1500,1976,0,4529 135th Ave SE,Bellevue,WA 98006,USA,4529 135th Ave SE Bellevue WA 98006 USA,47.5641071,-122.1599131,2014,5
2014-05-05,600000,3.0,1.75,1670,39639,1.0,0,0,4,1670,0,1976,1992,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA,1804 E Beaver Lake Dr SE Sammamish WA 98075 USA,47.5929508,-121.9886857,2014,5
2014-05-05,379950,4.0,1.75,1970,9389,1.0,0,0,5,1140,830,1960,0,1701 N 204th Pl,Shoreline,WA 98133,USA,1701 N 204th Pl Shoreline WA 98133 USA,47.7770899,-122.339098,2014,5
2014-05-05,287000,3.0,1.0,1450,6000,1.0,0,0,4,1450,0,1953,1983,8681 Beacon Ave S,Seattle,WA 98118,USA,8681 Beacon Ave S Seattle WA 98118 USA,47.5239168,-122.2868555,2014,5
2014-05-05,2280000,7.0,8.0,13540,307752,3.0,0,4,3,9410,4130,1999,0,26408 NE 70th St,Redmond,WA 98053,USA,26408 NE 70th St Redmond WA 98053 USA,47.667585,-121.9858405,2014,5
